Province,Year,GDP
Kalimantan Timur,2008,134228023.9
Kalimantan Timur,2009,154100949.6
Kalimantan Timur,2010,187875487.2
Kalimantan Timur,2011,241415562.5
Kepulauan Bangka-Belitung,2000,6451089.38
Kepulauan Bangka-Belitung,2001,7513977.01
Kepulauan Bangka-Belitung,2002,8600835.53
Kepulauan Bangka-Belitung,2003,9737771.45
Kepulauan Bangka-Belitung,2004,11294211.3
Kepulauan Bangka-Belitung,2005,13535453.92
Kepulauan Bangka-Belitung,2006,15299646.7
Kepulauan Bangka-Belitung,2007,17369399.15
Kepulauan Bangka-Belitung,2008,20846415.86
Kepulauan Bangka-Belitung,2009,22418816.61
Kepulauan Bangka-Belitung,2010,25083739.21
Kepulauan Bangka-Belitung,2011,29778687.5
Kepulauan Riau,2000,20373895.63
Kepulauan Riau,2001,24304865.79
Kepulauan Riau,2002,27064141.58
Kepulauan Riau,2003,30483327.84
Kepulauan Riau,2004,33614229.72
Kepulauan Riau,2005,37414643.2
Kepulauan Riau,2006,41950512.95
Kepulauan Riau,2007,47420368.7
Kepulauan Riau,2008,53841673.87
Kepulauan Riau,2009,59061742.91
Kepulauan Riau,2010,66504856.51
Kepulauan Riau,2011,75007343.75
Lampung,2000,22915441.85
Lampung,2001,25378400.34
Lampung,2002,28241856.6
Lampung,2003,31290011.07
Lampung,2004,34872456.84
Lampung,2005,39407272.49
Lampung,2006,47706379.38
Lampung,2007,59485485.51
Lampung,2008,72260509.28
Lampung,2009,86856943.07
Lampung,2010,106038192
Lampung,2011,126436742.2
Maluku Utara,2000,1879628.31
Maluku Utara,2001,1952866.62
Maluku Utara,2002,2035155.51
Maluku Utara,2003,2175010.27
Maluku Utara,2004,2368865.47
Maluku Utara,2005,2583101.46
Maluku Utara,2006,2818416.83
Maluku Utara,2007,3160041.71
Maluku Utara,2008,3862243.13
Maluku Utara,2009,4690567.72
Maluku Utara,2010,5387443.93
Maluku Utara,2011,6038669.92
Maluku,2000,2756717.88
Maluku,2001,2991578.8
Maluku,2002,3448436.71
Maluku,2003,3670949.52
Maluku,2004,4030010.63
Maluku,2005,4551496.15
Maluku,2006,5059637.11
Maluku,2007,5682667.38
Maluku,2008,6251887.42
Maluku,2009,7049318.82
Maluku,2010,8064484.11
Maluku,2011,9570822.27
Nanggroe Aceh Darussalam,2000,19626691.47
Nanggroe Aceh Darussalam,2001,21230620.42
Nanggroe Aceh Darussalam,2002,24488662.9
Nanggroe Aceh Darussalam,2003,27011582.29
Nanggroe Aceh Darussalam,2004,30149761.23
Nanggroe Aceh Darussalam,2005,35449322
Nanggroe Aceh Darussalam,2006,43465767.47
Nanggroe Aceh Darussalam,2007,49718173.08
Nanggroe Aceh Darussalam,2008,54209880.05
Nanggroe Aceh Darussalam,2009,58615372.34
Nanggroe Aceh Darussalam,2010,64609717.54
Nanggroe Aceh Darussalam,2011,71657718.75
Nusa Tenggara Barat,2000,12192583.88
Nusa Tenggara Barat,2001,15238256.74
Nusa Tenggara Barat,2002,16294608.31
Nusa Tenggara Barat,2003,17499604.38
Nusa Tenggara Barat,2004,22145674.45
Nusa Tenggara Barat,2005,25682674.61
Nusa Tenggara Barat,2006,28596881.52
Nusa Tenggara Barat,2007,33522225.01
Nusa Tenggara Barat,2008,35314731.04
Nusa Tenggara Barat,2009,43985030.56
Nusa Tenggara Barat,2010,49362706.42
Nusa Tenggara Barat,2011,48729105.47
Nusa Tenggara Timur,2000,7850624.28
Nusa Tenggara Timur,2001,9138301.25
Nusa Tenggara Timur,2002,10274236.49
Nusa Tenggara Timur,2003,11473204.46
Nusa Tenggara Timur,2004,13004160.01
Nusa Tenggara Timur,2005,14810472.1
Nusa Tenggara Timur,2006,16904073.23
Nusa Tenggara Timur,2007,19136982.17
Nusa Tenggara Timur,2008,21655869.37
Nusa Tenggara Timur,2009,24179412.16
Nusa Tenggara Timur,2010,27711246.07
Nusa Tenggara Timur,2011,31221527.34
Papua Barat,2000,2817147.45
Papua Barat,2001,3183903.2
Papua Barat,2002,3617835.07
Papua Barat,2003,4137795.13
Papua Barat,2004,4669431.03
Papua Barat,2005,5427856.04
Papua Barat,2006,6367572.45
Papua Barat,2007,7452203.55
Papua Barat,2008,9778948.46
Papua Barat,2009,12031519.15
Papua Barat,2010,13696928.73
Papua Barat,2011,16575623.05
Papua,2000,18409760.84
Papua,2001,21590317.72
Papua,2002,22548296.24
Papua,2003,23890084.29
Papua,2004,24842903.74
Papua,2005,43615319.21
Papua,2006,46895228.88
Papua,2007,55380453.41
Papua,2008,61516238.47
Papua,2009,77728564.53
Papua,2010,89451248.76
Papua,2011,76559101.56
Riau,2000,22455860.22
Riau,2001,31879728.9
Riau,2002,40588936.89
Riau,2003,51799212.07
Riau,2004,64527875.21
Riau,2005,79065371.46
Riau,2006,94815601.47
Riau,2007,117034983.7
Riau,2008,149125242.2
Riau,2009,179037322.6
Riau,2010,214552690.5
Riau,2011,253385328.1
Sulawesi Barat,2000,2493140.52
Sulawesi Barat,2001,2825850.19
Sulawesi Barat,2002,3166740.11
Sulawesi Barat,2003,3394155.66
Sulawesi Barat,2004,3835712.61
Sulawesi Barat,2005,4422946.41
Sulawesi Barat,2006,5124812.71
Sulawesi Barat,2007,6192785.57
